epoch,train_huber_loss,val_huber_loss,val_mae_solidVolume,val_rmse_solidVolume,val_r2_solidVolume,val_mae_surfaceVolume,val_rmse_surfaceVolume,val_r2_surfaceVolume,val_mae_supportSurfaceArea,val_rmse_supportSurfaceArea,val_r2_supportSurfaceArea,val_mae_aligned_dim_x,val_rmse_aligned_dim_x,val_r2_aligned_dim_x,val_mae_aligned_dim_y,val_rmse_aligned_dim_y,val_r2_aligned_dim_y,val_mae_aligned_dim_z,val_rmse_aligned_dim_z,val_r2_aligned_dim_z,lr,epoch_time_s
54,0.061942,0.058437,0.04002711,0.08829131,0.84751807,0.00931422,0.02089314,0.82685183,0.02167988,0.04161521,0.69131391,0.10538154,0.17013805,0.89679622,0.06687257,0.10412713,0.94293774,0.09431218,0.15414079,0.84071532,2.51e-04,39.96
55,0.060246,0.051155,0.03611814,0.08125321,0.87085919,0.00705997,0.01565202,0.90282583,0.02237639,0.04324111,0.66672219,0.09348390,0.14932860,0.92049788,0.06341641,0.10134625,0.94594491,0.08473492,0.14412962,0.86073392,2.49e-04,39.88
56,0.059497,0.048527,0.02823688,0.06597274,0.91486435,0.00786756,0.01690687,0.88661989,0.02162632,0.04170210,0.69002350,0.10370692,0.15765347,0.91138654,0.05301711,0.08060133,0.96580949,0.08298458,0.14315662,0.86260793,2.47e-04,39.89
57,0.057280,0.049890,0.02410045,0.05667836,0.93716277,0.00634823,0.01372149,0.92531857,0.02732625,0.04669035,0.61143197,0.09042712,0.14458321,0.92547046,0.06264140,0.10190246,0.94534996,0.08810822,0.14196055,0.86489414,2.46e-04,39.85
58,0.058952,0.045678,0.02737655,0.05844973,0.93317370,0.00590592,0.01160061,0.94662081,0.02310063,0.04648921,0.61477255,0.10733764,0.16177686,0.90669058,0.05474348,0.08482509,0.96213222,0.08566073,0.13594063,0.87610968,2.44e-04,39.89
59,0.060452,0.045784,0.02509588,0.06032569,0.92881525,0.00642289,0.01377839,0.92469791,0.02373990,0.04357713,0.66152228,0.08954148,0.13741086,0.93268143,0.07251281,0.11318368,0.93257999,0.08114778,0.13761690,0.87303546,2.42e-04,39.89
60,0.059717,0.048686,0.03256736,0.07172500,0.89937091,0.00725255,0.01508501,0.90973873,0.02223952,0.04199416,0.68566656,0.10205963,0.15560110,0.91367870,0.05019661,0.08404243,0.96282779,0.09193325,0.15853672,0.83150052,2.40e-04,39.87
61,0.058857,0.047715,0.03248356,0.06916045,0.90643832,0.00751176,0.01584920,0.90036196,0.02148439,0.04077325,0.70367823,0.10602293,0.16249909,0.90585558,0.05705199,0.09487244,0.95263023,0.08447091,0.13917674,0.87014095,2.38e-04,39.90
62,0.056953,0.045449,0.02904022,0.06844071,0.90837554,0.00773874,0.01704796,0.88471973,0.02119700,0.04046697,0.70811339,0.09232254,0.14155984,0.92855484,0.05939714,0.09789567,0.94956313,0.07710408,0.12905650,0.88833976,2.37e-04,39.91
63,0.057349,0.058496,0.03224177,0.07218030,0.89808930,0.00755474,0.01648813,0.89216662,0.02817625,0.05135434,0.52992491,0.10402571,0.16921036,0.89791860,0.07713994,0.12778367,0.91406463,0.07718335,0.12632523,0.89301593,2.35e-04,39.89
64,0.055521,0.051326,0.03264770,0.07696451,0.88413202,0.00687345,0.01499334,0.91083246,0.02374485,0.04409951,0.65335857,0.08716962,0.13992082,0.93019969,0.06721610,0.10060954,0.94672794,0.09406845,0.15609734,0.83664598,2.33e-04,39.91
65,0.054861,0.043867,0.02643356,0.05892931,0.93207258,0.00599859,0.01142981,0.94818107,0.02158895,0.04055290,0.70687246,0.08510720,0.13803676,0.93206678,0.05647691,0.08831736,0.95894999,0.09366322,0.16220371,0.82361548,2.31e-04,39.86
66,0.053748,0.046330,0.02456395,0.05677605,0.93694599,0.00665346,0.01466770,0.91466363,0.02278798,0.04388551,0.65671472,0.10256545,0.16401985,0.90408522,0.05466994,0.09790862,0.94954978,0.08117719,0.13293879,0.88152075,2.29e-04,39.90
67,0.056915,0.046559,0.02645080,0.06114204,0.92687559,0.00753219,0.01577106,0.90134202,0.02092496,0.04145398,0.69370119,0.09752198,0.15644209,0.91274307,0.06877585,0.11119647,0.93492665,0.08146572,0.13608423,0.87584780,2.27e-04,39.87
68,0.054875,0.045404,0.02523565,0.06062374,0.92811011,0.00672900,0.01459359,0.91552373,0.02118104,0.04160529,0.69146103,0.11054399,0.18127719,0.88284009,0.05299117,0.08973331,0.95762316,0.08459162,0.13822688,0.87190744,2.25e-04,39.87
69,0.052217,0.049009,0.03257419,0.07474469,0.89071938,0.00708629,0.01583610,0.90052660,0.02172566,0.04291826,0.67168024,0.09915534,0.15439568,0.91501094,0.07217117,0.11530335,0.93003110,0.08041482,0.13479614,0.87818696,2.23e-04,39.88
70,0.054636,0.050789,0.03105834,0.07235453,0.89759672,0.00588800,0.01230808,0.93991161,0.02563995,0.04669969,0.61127643,0.09394040,0.14958209,0.92022775,0.06047062,0.10157806,0.94569735,0.08572549,0.14503473,0.85897929,2.21e-04,39.89
71,0.051617,0.049496,0.03235756,0.07519733,0.88939180,0.00872042,0.01959582,0.84768697,0.02012666,0.04059569,0.70625354,0.09163758,0.14999336,0.91978848,0.06245585,0.09820720,0.94924161,0.08401001,0.13597417,0.87604853,2.19e-04,39.84
72,0.052420,0.040217,0.02463268,0.05980333,0.93004268,0.00612256,0.01353380,0.92734759,0.01961181,0.03883977,0.73111528,0.09472591,0.15538922,0.91391362,0.05784780,0.09207810,0.95537955,0.07810193,0.12976274,0.88711432,2.17e-04,39.89
73,0.053341,0.046575,0.02531988,0.05930436,0.93120519,0.00806577,0.01656448,0.89116568,0.02170255,0.04173540,0.68952839,0.11369148,0.17515935,0.89061459,0.05825950,0.08727743,0.95991101,0.07684367,0.13204052,0.88311646,2.15e-04,39.85
74,0.051878,0.044912,0.02795636,0.06525267,0.91671266,0.00659852,0.01414538,0.92063308,0.01963437,0.03969743,0.71910909,0.08789989,0.13779187,0.93230759,0.04809033,0.07714587,0.96867822,0.10517155,0.16878197,0.80901866,2.13e-04,39.87
75,0.051654,0.055875,0.03773654,0.08089121,0.87200731,0.00805410,0.01649959,0.89201671,0.02534136,0.04665957,0.61194416,0.11249058,0.17097680,0.89577615,0.05741686,0.09277114,0.95470535,0.08706572,0.14042805,0.86779540,2.10e-04,39.88
76,0.051614,0.042727,0.02729018,0.06389172,0.92015060,0.00635345,0.01315182,0.93139091,0.02201761,0.04243263,0.67906823,0.10161004,0.15675686,0.91239159,0.04520062,0.07237339,0.97243366,0.07586838,0.12270394,0.89906173,2.08e-04,39.89
77,0.051799,0.053079,0.03131665,0.07192730,0.89880246,0.00913329,0.02038712,0.83513749,0.02206901,0.04382567,0.65765031,0.10974099,0.19068375,0.87036565,0.06049970,0.08952372,0.95782089,0.07361028,0.12460600,0.89590814,2.06e-04,39.87
78,0.053541,0.040916,0.03103768,0.06686790,0.91253834,0.00549995,0.01088261,0.95302394,0.02085817,0.04015687,0.71256961,0.09535416,0.15509346,0.91424101,0.05601743,0.08815873,0.95909732,0.07815288,0.13494287,0.87792161,2.04e-04,39.87
79,0.051310,0.052633,0.03026420,0.07068168,0.90227713,0.00938324,0.02080869,0.82824877,0.02050476,0.04008995,0.71352693,0.10842472,0.18612355,0.87649193,0.06107698,0.09417000,0.95332908,0.08719546,0.14433661,0.86033363,2.02e-04,39.89
80,0.050776,0.041047,0.02449216,0.05724683,0.93589596,0.00569141,0.01228249,0.94016121,0.02130934,0.04191859,0.68679687,0.08062722,0.13013721,0.93961965,0.05928900,0.09470434,0.95279794,0.08426110,0.14620979,0.85668496,2.00e-04,40.08
81,0.049045,0.046030,0.02398880,0.05861506,0.93279511,0.00763182,0.01720039,0.88264901,0.02085781,0.04010894,0.71325539,0.09008042,0.13798860,0.93211418,0.05913968,0.09523555,0.95226693,0.09149688,0.15462363,0.83971586,1.98e-04,40.03
82,0.049321,0.044968,0.02587960,0.05887300,0.93220233,0.00595897,0.01219474,0.94101311,0.02225668,0.04462546,0.64504089,0.09017903,0.14572981,0.92428368,0.07923830,0.11917961,0.92524761,0.08006828,0.13001092,0.88668211,1.95e-04,40.05
